STT,Loại thông báo,Tiêu đề,Nội dung tóm tắt,Đối tượng nhận,Ngày sự kiện,Hạn chót (Deadline),Trạng thái hiển thị nút
1,Khảo sát,Khảo sát mức độ hài lòng & nhu cầu sử dụng Vinschool One,Nhằm nâng cao chất lượng phối hợp dạy – học và dịch vụ số cho học sinh. Khảo sát kéo dài 5-7 phút phục vụ mục đích cải tiến dịch vụ.,PHHS Tiểu học – THCS – THPT,N/A,Không ghi rõ,Thực hiện khảo sát
2,Hoạt động ngoại khóa,"Khảo sát ý kiến PHHS về việc HS tham gia hoạt động ngoại khóa ""Bảo tàng đường Hồ Chí Minh""","Nhằm mang đến trải nghiệm học tập môn Lịch sử - Địa lí, giúp các con tìm hiểu chặng đường lịch sử hào hùng qua hiện vật và câu chuyện lịch sử.",PHHS Khối 5 (Vinschool Times City),08/04/2026,Trước 08/04/2026,Xem câu trả lời
3,Trải nghiệm học tập,Khảo sát PHHS về việc tham gia hoạt động trải nghiệm xem phim khối 5,"Trải nghiệm thực tế môn ESL (Unit 8: Entertainment). Học sinh xem phim ""Super Mario Galaxy"" để tìm hiểu lịch sử rạp chiếu phim và trò chơi điện tử.",PHHS Khối 5 (Vinschool Times City),10/04/2026,09/04/2026,Cập nhật khảo sát
4,Học vụ,Thông báo lịch thi Giữa học kỳ 2,"Lịch thi chi tiết các môn Toán, Tiếng Việt, Tiếng Anh và các môn chuyên biệt. PH vui lòng nhắc con ôn tập theo đề cương.",Toàn học sinh,19/02/2026,02/03 - 06/03,Xem chi tiết
5,Sự kiện,Ngày hội Thể thao Vinschool (Sports Day),Sự kiện thể thao thường niên nhằm rèn luyện sức khỏe và tinh thần đồng đội. Yêu cầu HS mặc đồng phục thể thao và mang theo nước uống.,Khối Tiểu học,25/02/2026,07/03/2026,Đăng ký tham gia
6,Y tế,Khám sức khỏe định kỳ đợt 2,"Nhà trường phối hợp với bệnh viện Vinmec tổ chức khám sức khỏe tổng quát (mắt, răng miệng, chiều cao, cân nặng) cho học sinh.",Toàn học sinh,02/03/2026,10/03 - 12/03,Xem kết quả
7,Sự kiện,Chào mừng ngày Quốc tế Phụ nữ 8/3,Hoạt động làm thiệp và quà handmade dành tặng mẹ và cô giáo trong giờ trải nghiệm sáng tạo.,Khối Tiểu học,05/03/2026,08/03/2026,Đã đóng
8,Hội thảo,Hội thảo: Định hướng tư duy AI cho trẻ,"Buổi chia sẻ từ các chuyên gia về cách tiếp cận công nghệ và trí tuệ nhân tạo an toàn, hiệu quả cho học sinh phổ thông.",PHHS toàn trường,09/03/2026,15/03/2026,Đăng ký ngay
9,Học vụ,Thông báo họp Phụ huynh giữa học kỳ 2,"Họp tập trung để trao đổi về tình hình học tập, rèn luyện và định hướng các hoạt động trong giai đoạn cuối năm học.",PHHS toàn trường,12/03/2026,21/03/2026,Xác nhận tham dự
10,Tài chính,Thông báo học phí và các khoản phí tháng 4/2026,"Nhà trường gửi thông báo thu học phí, tiền ăn và phí xe đưa đón tháng 4. PH vui lòng thanh toán đúng hạn.",PHHS toàn trường,18/03/2026,Hạn 31/03,Thanh toán ngay
11,Ngoại khóa,Đăng ký câu lạc bộ ngoại khóa sau giờ học,"Mở cổng đăng ký các CLB: Bóng rổ, Lập trình Python, Vẽ sáng tạo và Nhảy hiện đại cho học kỳ mới.",Khối Tiểu học,23/03/2026,01/04 - 30/05,Đăng ký
12,Sự kiện,Ngày hội Đọc sách (Book Fair 2026),"Hoạt động trao đổi sách, kể chuyện theo nhân vật và gian hàng sách ưu đãi từ các nhà xuất bản lớn.",Toàn học sinh,26/03/2026,04/04/2026,Xem lịch trình
13,Đời sống,Cập nhật thực đơn tháng 4/2026,"Danh sách thực đơn bữa sáng, bữa trưa và bữa xế đã được kiểm duyệt bởi chuyên gia dinh dưỡng.",PHHS toàn trường,30/03/2026,01/04 - 30/04,Xem thực đơn
